Gau1,Doan2,Begin3,Location
60,73,63,0
63,70,64,0
62,71,69,0
63,73,67,0
72,68,64,0
70,67,63,0
76,70,67,0
68,67,65,0
69,66,67,0
68,67,68,0
69,69,67,0
62,64,57,0
62,68,58,0
62,64,57,0
71,63,54,0
70,65,60,0
65,65,64,0
62,70,58,0
64,70,59,0
78,69,66,0
66,68,50,1
63,62,48,1
62,64,49,1
62,63,48,1
62,65,47,1
62,55,51,1
61,62,48,1
62,60,47,1
62,56,54,1
66,63,52,1
64,61,52,1
63,59,52,1
65,62,53,1
65,60,50,1
69,55,50,1
65,53,49,1
66,50,49,1
69,50,46,1
62,55,51,1
63,53,50,1
57,46,49,2
57,48,49,2
59,42,49,2
59,44,48,2
60,44,46,2
60,43,49,2
61,46,48,2
61,43,49,2
57,41,47,2
58,42,48,2
63,45,49,2
56,44,49,2
55,43,46,2
58,45,46,2
66,43,55,2
60,37,50,2
68,41,52,2
67,40,54,2
69,44,50,2
65,42,52,2
54,61,62,3
54,57,62,3
57,60,64,3
57,58,63,3
53,59,63,3
54,58,63,3
53,56,64,3
53,59,63,3
52,59,60,3
55,58,62,3
51,59,60,3
53,61,62,3
55,59,61,3
54,59,60,3
56,58,61,3
55,59,61,3
56,58,63,3
56,63,61,3
53,56,58,3
56,58,64,3
44,65,60,4
50,73,62,4
51,61,62,4
45,64,63,4
43,61,60,4
40,69,62,4
40,69,62,4
42,66,63,4
40,64,63,4
40,69,66,4
40,67,66,4
42,65,67,4
39,70,69,4
41,66,66,4
39,65,65,4
45,66,69,4
44,62,69,4
46,62,64,4
47,65,60,4
45,66,69,4
